PK_ID_ALUNO,FK_ID_TURMA,NOME_ALUNO,SOBRENOME_ALUNO,CPF,DATA_NASCIMENTO,GÊNERO,ENDEREÇO,CIDADE,ESTADO,NÚMERO,LOGIN_PORTAL,EMAIL,FK_ID_MEIO_DE_PAGAMENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,14,ISABELE,FERREIRA,12315963257,'09/08/1998',F,"RUA PADRE CASSIANO, 656 - PREDIO",ALUMÍNIO,SP,(62) 9 8781-8481,ISABELE.FERREIRA,ISABELE.FERREIRA@GMAIL.COM,2,,(,48,",",14,",",'ISABELE',",",'FERREIRA',",",'12315963257',",",'09/08/1998',",",'F',",","'RUA PADRE CASSIANO, 656 - PREDIO'",",",'ALUMÍNIO',",",'SP',",",'(62) 9 8781-8481',",",'ISABELE.FERREIRA',",",'ISABELE.FERREIRA@GMAIL.COM',",",2,),","
49,15,MARISA,LINHARES ,35415963255,'10/08/1998',F,"RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 514",CUBATÃO,SP,(81) 9 6088-3347,MARISA.LINHARES,MARISA.LINHARES@GMAIL.COM,3,,(,49,",",15,",",'MARISA',",",'LINHARES ',",",'35415963255',",",'10/08/1998',",",'F',",","'RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 514'",",",'CUBATÃO',",",'SP',",",'(81) 9 6088-3347',",",'MARISA.LINHARES',",",'MARISA.LINHARES@GMAIL.COM',",",3,),","
50,16,ADRIANA,GUERRA,85415568250,'11/08/1998',F,"RUA PALMEIRAS, 54",OSASCO,SP,(71) 9 7623-7846,ADRIANA.GUERRA,ADRIANA.GUERRA@GMAIL.COM,2,,(,50,",",16,",",'ADRIANA',",",'GUERRA',",",'85415568250',",",'11/08/1998',",",'F',",","'RUA PALMEIRAS, 54'",",",'OSASCO',",",'SP',",",'(71) 9 7623-7846',",",'ADRIANA.GUERRA',",",'ADRIANA.GUERRA@GMAIL.COM',",",2,),","
51,1,DAVI,SMITH,5807502132,'12/08/1998',M,"RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 515",PORTO VELHO,RR,(62) 9 8781-8482,DAVI_SMITH,DAVI_SMITH@GMAIL.COM,3,,(,51,",",1,",",'DAVI',",",'SMITH',",",'5807502132',",",'12/08/1998',",",'M',",","'RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 515'",",",'PORTO VELHO',",",'RR',",",'(62) 9 8781-8482',",",'DAVI_SMITH',",",'DAVI_SMITH@GMAIL.COM',",",3,),","
52,9,ARTHUR,JOHNSON,15807502132,'13/08/1998',M,"RUA PALMEIRAS, 55",JOÃO PESSOA,PB,(81) 9 6088-3348,ARTHUR_JOHNSON,ARTHUR_JOHNSON@GMAIL.COM,3,,(,52,",",9,",",'ARTHUR',",",'JOHNSON',",",'15807502132',",",'13/08/1998',",",'M',",","'RUA PALMEIRAS, 55'",",",'JOÃO PESSOA',",",'PB',",",'(81) 9 6088-3348',",",'ARTHUR_JOHNSON',",",'ARTHUR_JOHNSON@GMAIL.COM',",",3,),","
53,11,PEDRO,WILLIAMS,25807502132,'14/08/1998',M,"RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 516",BRASILIA,DF,(71) 9 7623-7847,PEDRO_WILLIAMS,PEDRO_WILLIAMS@GMAIL.COM,1,,(,53,",",11,",",'PEDRO',",",'WILLIAMS',",",'25807502132',",",'14/08/1998',",",'M',",","'RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 516'",",",'BRASILIA',",",'DF',",",'(71) 9 7623-7847',",",'PEDRO_WILLIAMS',",",'PEDRO_WILLIAMS@GMAIL.COM',",",1,),","
54,12,GABRIEL,JONES,58075021323,'15/08/1998',M,"RUA PALMEIRAS, 56",RIO DE JANEIRO,RJ,(62) 9 8781-8483,GABRIEL_JONES,GABRIEL_JONES@GMAIL.COM,1,,(,54,",",12,",",'GABRIEL',",",'JONES',",",'58075021323',",",'15/08/1998',",",'M',",","'RUA PALMEIRAS, 56'",",",'RIO DE JANEIRO',",",'RJ',",",'(62) 9 8781-8483',",",'GABRIEL_JONES',",",'GABRIEL_JONES@GMAIL.COM',",",1,),","
55,14,BERNARDO,BROWN,35807502132,'16/08/1998',M,"RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 517",RIO DE JANEIRO,RJ,(81) 9 6088-3349,BERNARDO_BROWN,BERNARDO_BROWN@GMAIL.COM,1,,(,55,",",14,",",'BERNARDO',",",'BROWN',",",'35807502132',",",'16/08/1998',",",'M',",","'RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 517'",",",'RIO DE JANEIRO',",",'RJ',",",'(81) 9 6088-3349',",",'BERNARDO_BROWN',",",'BERNARDO_BROWN@GMAIL.COM',",",1,),","
56,15,LUCAS,DAVIS,45807502132,'17/08/1998',M,"RUA PALMEIRAS, 57",RIO DE JANEIRO,RJ,(71) 9 7623-7848,LUCAS_DAVIS,LUCAS_DAVIS@GMAIL.COM,1,,(,56,",",15,",",'LUCAS',",",'DAVIS',",",'45807502132',",",'17/08/1998',",",'M',",","'RUA PALMEIRAS, 57'",",",'RIO DE JANEIRO',",",'RJ',",",'(71) 9 7623-7848',",",'LUCAS_DAVIS',",",'LUCAS_DAVIS@GMAIL.COM',",",1,),","
57,15,MATHEUS,MILLER,55807502132,'18/08/1998',M,"RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 518",FLORIANÓPOLIS,SC,(62) 9 8781-8484,MATHEUS_MILLER,MATHEUS_MILLER@GMAIL.COM,1,,(,57,",",15,",",'MATHEUS',",",'MILLER',",",'55807502132',",",'18/08/1998',",",'M',",","'RUA CAPITÃO AMÉRICO FRANCISCO DA VEIGA, 518'",",",'FLORIANÓPOLIS',",",'SC',",",'(62) 9 8781-8484',",",'MATHEUS_MILLER',",",'MATHEUS_MILLER@GMAIL.COM',",",1,),","
58,3,RAFAEL,WILSON,65807502132,'19/08/1998',M,"RUA GENOVEVA ONOFRE BARBAN, 58",SÃO PAULO,SP,(81) 9 6088-3350,RAFAEL_WILSON,RAFAEL_WILSON@GMAIL.COM,1,,(,58,",",3,",",'RAFAEL',",",'WILSON',",",'65807502132',",",'19/08/1998',",",'M',",","'RUA GENOVEVA ONOFRE BARBAN, 58'",",",'SÃO PAULO',",",'SP',",",'(81) 9 6088-3350',",",'RAFAEL_WILSON',",",'RAFAEL_WILSON@GMAIL.COM',",",1,),","
59,2,HEITOR,MOORE,75807502132,'20/08/1998',M,"AV. CAVALHEIRO PASCHOAL INNECCHI, 963",BELO HORIZONTE,MG,(71) 9 7623-7849,HEITOR_MOORE,HEITOR_MOORE@GMAIL.COM,3,,(,59,",",2,",",'HEITOR',",",'MOORE',",",'75807502132',",",'20/08/1998',",",'M',",","'AV. CAVALHEIRO PASCHOAL INNECCHI, 963'",",",'BELO HORIZONTE',",",'MG',",",'(71) 9 7623-7849',",",'HEITOR_MOORE',",",'HEITOR_MOORE@GMAIL.COM',",",3,),","
60,3,ENZO,TAYLOR,85807502138,'21/08/1998',M,"ESTRADA PARA REPRESA DE GERICINÓ, 8544",SALVADOR,BA,(62) 9 8781-8485,ENZO_TAYLOR,ENZO_TAYLOR@GMAIL.COM,2,,(,60,",",3,",",'ENZO',",",'TAYLOR',",",'85807502138',",",'21/08/1998',",",'M',",","'ESTRADA PARA REPRESA DE GERICINÓ, 8544'",",",'SALVADOR',",",'BA',",",'(62) 9 8781-8485',",",'ENZO_TAYLOR',",",'ENZO_TAYLOR@GMAIL.COM',",",2,),","
61,2,GUILHERME,ANDERSON,95807502132,'22/08/1998',M,"VICINAL PARA SÃO JOSE, 122",CANDEIAS,PE,(62) 9 8781-8482,GUILHERME_ANDERSON,GUILHERME_ANDERSON@GMAIL.COM,1,,(,61,",",2,",",'GUILHERME',",",'ANDERSON',",",'95807502132',",",'22/08/1998',",",'M',",","'VICINAL PARA SÃO JOSE, 122'",",",'CANDEIAS',",",'PE',",",'(62) 9 8781-8482',",",'GUILHERME_ANDERSON',",",'GUILHERME_ANDERSON@GMAIL.COM',",",1,),","
62,5,NICOLAS,THOMAS,10807502132,'23/08/1998',M,"RUA SETE DE SETEMBRO, 968",LAURO DE FREITAS,BA,(81) 9 6088-3348,NICOLAS_THOMAS,NICOLAS_THOMAS@GMAIL.COM,1,,(,62,",",5,",",'NICOLAS',",",'THOMAS',",",'10807502132',",",'23/08/1998',",",'M',",","'RUA SETE DE SETEMBRO, 968'",",",'LAURO DE FREITAS',",",'BA',",",'(81) 9 6088-3348',",",'NICOLAS_THOMAS',",",'NICOLAS_THOMAS@GMAIL.COM',",",1,),","
63,20,LORENZO,JACKSON,11807502132,'24/08/1998',M,"AVENIDA PADRE MENDONÇA, 110",BELÉM,PA,(71) 9 7623-7847,LORENZO_JACKSON,LORENZO_JACKSON@GMAIL.COM,3,,(,63,",",20,",",'LORENZO',",",'JACKSON',",",'11807502132',",",'24/08/1998',",",'M',",","'AVENIDA PADRE MENDONÇA, 110'",",",'BELÉM',",",'PA',",",'(71) 9 7623-7847',",",'LORENZO_JACKSON',",",'LORENZO_JACKSON@GMAIL.COM',",",3,),","
64,20,GUSTAVO,WHITE,12807502132,'25/08/1998',M,"RUA GENOVEVA ONOFRE BARBAN, 59",PARAGOMINAS,PA,(62) 9 8781-8483,GUSTAVO_WHITE,GUSTAVO_WHITE@GMAIL.COM,2,,(,64,",",20,",",'GUSTAVO',",",'WHITE',",",'12807502132',",",'25/08/1998',",",'M',",","'RUA GENOVEVA ONOFRE BARBAN, 59'",",",'PARAGOMINAS',",",'PA',",",'(62) 9 8781-8483',",",'GUSTAVO_WHITE',",",'GUSTAVO_WHITE@GMAIL.COM',",",2,),","
65,20,FELIPE,HARRIS,13807502132,'26/08/1998',M,"AV. CAVALHEIRO PASCHOAL INNECCHI, 964",PETROLINA,PE,(81) 9 6088-3349,FELIPE_HARRIS,FELIPE_HARRIS@GMAIL.COM,1,,(,65,",",20,",",'FELIPE',",",'HARRIS',",",'13807502132',",",'26/08/1998',",",'M',",","'AV. CAVALHEIRO PASCHOAL INNECCHI, 964'",",",'PETROLINA',",",'PE',",",'(81) 9 6088-3349',",",'FELIPE_HARRIS',",",'FELIPE_HARRIS@GMAIL.COM',",",1,),","
66,20,SAMUEL,MARTIN,14807502132,'27/08/1998',M,"ESTRADA PARA REPRESA DE GERICINÓ, 8545",SOBRAL,CE,(71) 9 7623-7848,SAMUEL_MARTIN,SAMUEL_MARTIN@GMAIL.COM,1,,(,66,",",20,",",'SAMUEL',",",'MARTIN',",",'14807502132',",",'27/08/1998',",",'M',",","'ESTRADA PARA REPRESA DE GERICINÓ, 8545'",",",'SOBRAL',",",'CE',",",'(71) 9 7623-7848',",",'SAMUEL_MARTIN',",",'SAMUEL_MARTIN@GMAIL.COM',",",1,),","
67,20,JOÃO PEDRO,THOMPSON,16807502132,'28/08/1998',M,"VICINAL PARA SÃO JOSE, 74",TERESINA,PI,(62) 9 8781-8484,JOÃO PEDRO_THOMPSON,JOÃO PEDRO_THOMPSON@GMAIL.COM,2,,(,67,",",20,",",'JOÃO PEDRO',",",'THOMPSON',",",'16807502132',",",'28/08/1998',",",'M',",","'VICINAL PARA SÃO JOSE, 74'",",",'TERESINA',",",'PI',",",'(62) 9 8781-8484',",",'JOÃO PEDRO_THOMPSON',",",'JOÃO PEDRO_THOMPSON@GMAIL.COM',",",2,),","
68,1,DANIEL,GARCIA,17807502132,'29/08/1998',M,"RUA SETE DE SETEMBRO, 969",ANÁPOLIS,GO,(81) 9 6088-3350,DANIEL_GARCIA,DANIEL_GARCIA@GMAIL.COM,3,,(,68,",",1,",",'DANIEL',",",'GARCIA',",",'17807502132',",",'29/08/1998',",",'M',",","'RUA SETE DE SETEMBRO, 969'",",",'ANÁPOLIS',",",'GO',",",'(81) 9 6088-3350',",",'DANIEL_GARCIA',",",'DANIEL_GARCIA@GMAIL.COM',",",3,),","
69,9,VITOR,MARTINEZ,18807502132,'30/08/1998',M,"AVENIDA PADRE MENDONÇA, 111",BRASILIA,DF,(71) 9 7623-7849,VITOR_MARTINEZ,VITOR_MARTINEZ@GMAIL.COM,3,,(,69,",",9,",",'VITOR',",",'MARTINEZ',",",'18807502132',",",'30/08/1998',",",'M',",","'AVENIDA PADRE MENDONÇA, 111'",",",'BRASILIA',",",'DF',",",'(71) 9 7623-7849',",",'VITOR_MARTINEZ',",",'VITOR_MARTINEZ@GMAIL.COM',",",3,),","
70,11,LEONARDO,ROBINSON,19807502132,'31/08/1998',M,"RUA GENOVEVA ONOFRE BARBAN, 60",RIO DE JANEIRO,RJ,(62) 9 8781-8485,LEONARDO_ROBINSON,LEONARDO_ROBINSON@GMAIL.COM,3,,(,70,",",11,",",'LEONARDO',",",'ROBINSON',",",'19807502132',",",'31/08/1998',",",'M',",","'RUA GENOVEVA ONOFRE BARBAN, 60'",",",'RIO DE JANEIRO',",",'RJ',",",'(62) 9 8781-8485',",",'LEONARDO_ROBINSON',",",'LEONARDO_ROBINSON@GMAIL.COM',",",3,),","
71,12,HENRIQUE,CLARK,20807502132,'01/09/1998',M,"AV. CAVALHEIRO PASCHOAL INNECCHI, 965",SÃO PAULO,SP,(81) 9 6088-3351,HENRIQUE_CLARK,HENRIQUE_CLARK@GMAIL.COM,1,,(,71,",",12,",",'HENRIQUE',",",'CLARK',",",'20807502132',",",'01/09/1998',",",'M',",","'AV. CAVALHEIRO PASCHOAL INNECCHI, 965'",",",'SÃO PAULO',",",'SP',",",'(81) 9 6088-3351',",",'HENRIQUE_CLARK',",",'HENRIQUE_CLARK@GMAIL.COM',",",1,),","
72,14,THEO,RODRIGUEZ,21807502132,'02/09/1998',M,"ESTRADA PARA REPRESA DE GERICINÓ, 8546",FORTALEZA,CE,(71) 9 7623-7850,THEO_RODRIGUEZ,THEO_RODRIGUEZ@GMAIL.COM,1,,(,72,",",14,",",'THEO',",",'RODRIGUEZ',",",'21807502132',",",'02/09/1998',",",'M',",","'ESTRADA PARA REPRESA DE GERICINÓ, 8546'",",",'FORTALEZA',",",'CE',",",'(71) 9 7623-7850',",",'THEO_RODRIGUEZ',",",'THEO_RODRIGUEZ@GMAIL.COM',",",1,),","
73,15,MURILO,LEWIS,22807502132,'03/09/1998',M,"VICINAL PARA SÃO JOSE, 012",PORTO ALEGRE,RS,(62) 9 8781-8486,MURILO_LEWIS,MURILO_LEWIS@GMAIL.COM,1,,(,73,",",15,",",'MURILO',",",'LEWIS',",",'22807502132',",",'03/09/1998',",",'M',",","'VICINAL PARA SÃO JOSE, 012'",",",'PORTO ALEGRE',",",'RS',",",'(62) 9 8781-8486',",",'MURILO_LEWIS',",",'MURILO_LEWIS@GMAIL.COM',",",1,),","
74,12,EDUARDO,LEE,23807502132,'04/09/1998',M,"RUA SETE DE SETEMBRO, 970",CURITIBA,PR,(62) 9 8781-8483,EDUARDO_LEE,EDUARDO_LEE@GMAIL.COM,1,,(,74,",",12,",",'EDUARDO',",",'LEE',",",'23807502132',",",'04/09/1998',",",'M',",","'RUA SETE DE SETEMBRO, 970'",",",'CURITIBA',",",'PR',",",'(62) 9 8781-8483',",",'EDUARDO_LEE',",",'EDUARDO_LEE@GMAIL.COM',",",1,),","
75,14,ALICE,WALKER,24807502132,'05/09/1998',F,"AVENIDA PADRE MENDONÇA, 112",CAMPINAS,SP,(81) 9 6088-3349,ALICE_WALKER,ALICE_WALKER@GMAIL.COM,1,,(,75,",",14,",",'ALICE',",",'WALKER',",",'24807502132',",",'05/09/1998',",",'F',",","'AVENIDA PADRE MENDONÇA, 112'",",",'CAMPINAS',",",'SP',",",'(81) 9 6088-3349',",",'ALICE_WALKER',",",'ALICE_WALKER@GMAIL.COM',",",1,),","
76,15,JULIA,HALL,25807502132,'06/09/1998',F,"RUA GENOVEVA ONOFRE BARBAN, 61",NATAL,RN,(71) 9 7623-7848,JULIA_HALL,JULIA_HALL@GMAIL.COM,1,,(,76,",",15,",",'JULIA',",",'HALL',",",'25807502132',",",'06/09/1998',",",'F',",","'RUA GENOVEVA ONOFRE BARBAN, 61'",",",'NATAL',",",'RN',",",'(71) 9 7623-7848',",",'JULIA_HALL',",",'JULIA_HALL@GMAIL.COM',",",1,),","
77,15,ISABELLA,ALLEN,26807502132,'07/09/1998',F,"AV. CAVALHEIRO PASCHOAL INNECCHI, 966",RIO BRANCO,AC,(62) 9 8781-8484,ISABELLA_ALLEN,ISABELLA_ALLEN@GMAIL.COM,3,,(,77,",",15,",",'ISABELLA',",",'ALLEN',",",'26807502132',",",'07/09/1998',",",'F',",","'AV. CAVALHEIRO PASCHOAL INNECCHI, 966'",",",'RIO BRANCO',",",'AC',",",'(62) 9 8781-8484',",",'ISABELLA_ALLEN',",",'ISABELLA_ALLEN@GMAIL.COM',",",3,),","
78,3,MANUELA,YOUNG,27807502132,'08/09/1998',F,"ESTRADA PARA REPRESA DE GERICINÓ, 8547",MANAUS,AM,(81) 9 6088-3350,MANUELA_YOUNG,MANUELA_YOUNG@GMAIL.COM,3,,(,78,",",3,",",'MANUELA',",",'YOUNG',",",'27807502132',",",'08/09/1998',",",'F',",","'ESTRADA PARA REPRESA DE GERICINÓ, 8547'",",",'MANAUS',",",'AM',",",'(81) 9 6088-3350',",",'MANUELA_YOUNG',",",'MANUELA_YOUNG@GMAIL.COM',",",3,),","
79,2,LAURA,HERNANDEZ,28807502132,'09/09/1998',F,"VICINAL PARA SÃO JOSE, 216",GOIÂNIA,GO,(71) 9 7623-7849,LAURA_HERNANDEZ,LAURA_HERNANDEZ@GMAIL.COM,2,,(,79,",",2,",",'LAURA',",",'HERNANDEZ',",",'28807502132',",",'09/09/1998',",",'F',",","'VICINAL PARA SÃO JOSE, 216'",",",'GOIÂNIA',",",'GO',",",'(71) 9 7623-7849',",",'LAURA_HERNANDEZ',",",'LAURA_HERNANDEZ@GMAIL.COM',",",2,),","
80,3,LUIZA,KING,29807502132,'10/09/1998',F,"RUA SETE DE SETEMBRO, 971",ARACAJU,SE,(62) 9 8781-8485,LUIZA_KING,LUIZA_KING@GMAIL.COM,3,,(,80,",",3,",",'LUIZA',",",'KING',",",'29807502132',",",'10/09/1998',",",'F',",","'RUA SETE DE SETEMBRO, 971'",",",'ARACAJU',",",'SE',",",'(62) 9 8781-8485',",",'LUIZA_KING',",",'LUIZA_KING@GMAIL.COM',",",3,),","
81,2,VALENTINA,WRIGHT,30807502132,'11/09/1998',F,"AVENIDA PADRE MENDONÇA, 113",MACEIÓ,AL,(81) 9 6088-3351,VALENTINA_WRIGHT,VALENTINA_WRIGHT@GMAIL.COM,1,,(,81,",",2,",",'VALENTINA',",",'WRIGHT',",",'30807502132',",",'11/09/1998',",",'F',",","'AVENIDA PADRE MENDONÇA, 113'",",",'MACEIÓ',",",'AL',",",'(81) 9 6088-3351',",",'VALENTINA_WRIGHT',",",'VALENTINA_WRIGHT@GMAIL.COM',",",1,),","
82,5,GIOVANNA,LOPEZ,31807502132,'12/09/1998',F,"RUA GENOVEVA ONOFRE BARBAN, 62",SOROCABA,SP,(71) 9 7623-7850,GIOVANNA_LOPEZ,GIOVANNA_LOPEZ@GMAIL.COM,1,,(,82,",",5,",",'GIOVANNA',",",'LOPEZ',",",'31807502132',",",'12/09/1998',",",'F',",","'RUA GENOVEVA ONOFRE BARBAN, 62'",",",'SOROCABA',",",'SP',",",'(71) 9 7623-7850',",",'GIOVANNA_LOPEZ',",",'GIOVANNA_LOPEZ@GMAIL.COM',",",1,),","
83,20,MARIA EDUARDA,HILL,32807502132,'13/09/1998',F,"AV. CAVALHEIRO PASCHOAL INNECCHI, 967",RIO DE JANEIRO,RJ,(62) 9 8781-8486,MARIA EDUARDA_HILL,MARIA EDUARDA_HILL@GMAIL.COM,2,,(,83,",",20,",",'MARIA EDUARDA',",",'HILL',",",'32807502132',",",'13/09/1998',",",'F',",","'AV. CAVALHEIRO PASCHOAL INNECCHI, 967'",",",'RIO DE JANEIRO',",",'RJ',",",'(62) 9 8781-8486',",",'MARIA EDUARDA_HILL',",",'MARIA EDUARDA_HILL@GMAIL.COM',",",2,),","
84,20,HELENA,SCOTT,33807502132,'14/09/1998',F,"ESTRADA PARA REPRESA DE GERICINÓ, 8548",SÃO PAULO,SP,(81) 9 6088-3352,HELENA_SCOTT,HELENA_SCOTT@GMAIL.COM,3,,(,84,",",20,",",'HELENA',",",'SCOTT',",",'33807502132',",",'14/09/1998',",",'F',",","'ESTRADA PARA REPRESA DE GERICINÓ, 8548'",",",'SÃO PAULO',",",'SP',",",'(81) 9 6088-3352',",",'HELENA_SCOTT',",",'HELENA_SCOTT@GMAIL.COM',",",3,),","
85,1,BEATRIZ,GREEN,34807502132,'15/09/1998',F,"VICINAL PARA SÃO JOSE, 33",SÃO PAULO,SP,(71) 9 7623-7851,BEATRIZ_GREEN,BEATRIZ_GREEN@GMAIL.COM,1,,(,85,",",1,",",'BEATRIZ',",",'GREEN',",",'34807502132',",",'15/09/1998',",",'F',",","'VICINAL PARA SÃO JOSE, 33'",",",'SÃO PAULO',",",'SP',",",'(71) 9 7623-7851',",",'BEATRIZ_GREEN',",",'BEATRIZ_GREEN@GMAIL.COM',",",1,),","
86,9,MARIA LUIZA,ADAMS,35807502132,'16/09/1998',F,"RUA SETE DE SETEMBRO, 972",SÃO JOSÉ DO RIO PRETO,SP,(62) 9 8781-8487,MARIA LUIZA_ADAMS,MARIA LUIZA_ADAMS@GMAIL.COM,1,,(,86,",",9,",",'MARIA LUIZA',",",'ADAMS',",",'35807502132',",",'16/09/1998',",",'F',",","'RUA SETE DE SETEMBRO, 972'",",",'SÃO JOSÉ DO RIO PRETO',",",'SP',",",'(62) 9 8781-8487',",",'MARIA LUIZA_ADAMS',",",'MARIA LUIZA_ADAMS@GMAIL.COM',",",1,),","
87,11,LARA,BAKER,36807502132,'17/09/1998',F,"AVENIDA PADRE MENDONÇA, 114",BARREIRAS,BA,(62) 9 8781-8484,LARA_BAKER,LARA_BAKER@GMAIL.COM,1,,(,87,",",11,",",'LARA',",",'BAKER',",",'36807502132',",",'17/09/1998',",",'F',",","'AVENIDA PADRE MENDONÇA, 114'",",",'BARREIRAS',",",'BA',",",'(62) 9 8781-8484',",",'LARA_BAKER',",",'LARA_BAKER@GMAIL.COM',",",1,),","
88,12,MARIANA,GONZALEZ,37807502132,'18/09/1998',F,"RUA GENOVEVA ONOFRE BARBAN, 63",BRASÍLIA,DF,(81) 9 6088-3350,MARIANA_GONZALEZ,MARIANA_GONZALEZ@GMAIL.COM,1,,(,88,",",12,",",'MARIANA',",",'GONZALEZ',",",'37807502132',",",'18/09/1998',",",'F',",","'RUA GENOVEVA ONOFRE BARBAN, 63'",",",'BRASÍLIA',",",'DF',",",'(81) 9 6088-3350',",",'MARIANA_GONZALEZ',",",'MARIANA_GONZALEZ@GMAIL.COM',",",1,),","
89,14,NICOLE,NELSON,38807502132,'19/09/1998',F,"AV. CAVALHEIRO PASCHOAL INNECCHI, 968",BRASÍLIA,DF,(71) 9 7623-7849,NICOLE_NELSON,NICOLE_NELSON@GMAIL.COM,3,,(,89,",",14,",",'NICOLE',",",'NELSON',",",'38807502132',",",'19/09/1998',",",'F',",","'AV. CAVALHEIRO PASCHOAL INNECCHI, 968'",",",'BRASÍLIA',",",'DF',",",'(71) 9 7623-7849',",",'NICOLE_NELSON',",",'NICOLE_NELSON@GMAIL.COM',",",3,),","
90,15,RAFAELA,CARTER,39807502132,'20/09/1998',F,"ESTRADA PARA REPRESA DE GERICINÓ, 8549",QUIXADÁ,CE,(62) 9 8781-8485,RAFAELA_CARTER,RAFAELA_CARTER@GMAIL.COM,3,,(,90,",",15,",",'RAFAELA',",",'CARTER',",",'39807502132',",",'20/09/1998',",",'F',",","'ESTRADA PARA REPRESA DE GERICINÓ, 8549'",",",'QUIXADÁ',",",'CE',",",'(62) 9 8781-8485',",",'RAFAELA_CARTER',",",'RAFAELA_CARTER@GMAIL.COM',",",3,),","
91,12,HELOÍSA,FERNANDES SOUZA,40807502132,'21/09/1998',F,VICINAL PARA SÃO MATEUS,PRESIDENTE DUTRA,SP,(81) 9 6088-3351,HELOÍSA_MITCHELL,HELOÍSA_MITCHELL@GMAIL.COM,1,,(,91,",",12,",",'HELOÍSA',",",'FERNANDES SOUZA',",",'40807502132',",",'21/09/1998',",",'F',",",'VICINAL PARA SÃO MATEUS',",",'PRESIDENTE DUTRA',",",'SP',",",'(81) 9 6088-3351',",",'HELOÍSA_MITCHELL',",",'HELOÍSA_MITCHELL@GMAIL.COM',",",1,),","
92,9,ISADORA,ALMEIDA LIMA,41807502132,'22/09/1998',F,"RUA SETE DE SETEMBRO, 973",CAMPINAS,SP,(71) 9 7623-7850,ISADORA_PEREZ,ISADORA_PEREZ@GMAIL.COM,1,,(,92,",",9,",",'ISADORA',",",'ALMEIDA LIMA',",",'41807502132',",",'22/09/1998',",",'F',",","'RUA SETE DE SETEMBRO, 973'",",",'CAMPINAS',",",'SP',",",'(71) 9 7623-7850',",",'ISADORA_PEREZ',",",'ISADORA_PEREZ@GMAIL.COM',",",1,),","
93,11,LÍVIA,DIAS,42807502132,'23/09/1998',F,"AVENIDA PADRE MENDONÇA, 115",PRESIDENTE DUTRA,SP,(62) 9 8781-8486,LÍVIA_ROBERTS,LÍVIA_ROBERTS@GMAIL.COM,1,,(,93,",",11,",",'LÍVIA',",",'DIAS',",",'42807502132',",",'23/09/1998',",",'F',",","'AVENIDA PADRE MENDONÇA, 115'",",",'PRESIDENTE DUTRA',",",'SP',",",'(62) 9 8781-8486',",",'LÍVIA_ROBERTS',",",'LÍVIA_ROBERTS@GMAIL.COM',",",1,),","
94,12,MARIA CLARA,BARBOSA,43807502132,'24/09/1998',F,"RUA GENOVEVA ONOFRE BARBAN, 64",MACAPÁ,AM,(81) 9 6088-3352,MARIA CLARA_TURNER,MARIA CLARA_TURNER@GMAIL.COM,1,,(,94,",",12,",",'MARIA CLARA',",",'BARBOSA',",",'43807502132',",",'24/09/1998',",",'F',",","'RUA GENOVEVA ONOFRE BARBAN, 64'",",",'MACAPÁ',",",'AM',",",'(81) 9 6088-3352',",",'MARIA CLARA_TURNER',",",'MARIA CLARA_TURNER@GMAIL.COM',",",1,),","
95,14,ANA CLARA,MELO,44807502132,'25/09/1998',F,"AV. CAVALHEIRO PASCHOAL INNECCHI, 969",ALUMÍNIO,SP,(71) 9 7623-7851,ANA CLARA_PHILLIPS,ANA CLARA_PHILLIPS@GMAIL.COM,3,,(,95,",",14,",",'ANA CLARA',",",'MELO',",",'44807502132',",",'25/09/1998',",",'F',",","'AV. CAVALHEIRO PASCHOAL INNECCHI, 969'",",",'ALUMÍNIO',",",'SP',",",'(71) 9 7623-7851',",",'ANA CLARA_PHILLIPS',",",'ANA CLARA_PHILLIPS@GMAIL.COM',",",3,),","
96,15,LORENA,RIBEIRO,45807502132,'26/09/1998',F,"ESTRADA PARA REPRESA DE GERICINÓ, 8550",CUBATÃO,SP,(62) 9 8781-8487,LORENA_CAMPBELL,LORENA_CAMPBELL@GMAIL.COM,1,,(,96,",",15,",",'LORENA',",",'RIBEIRO',",",'45807502132',",",'26/09/1998',",",'F',",","'ESTRADA PARA REPRESA DE GERICINÓ, 8550'",",",'CUBATÃO',",",'SP',",",'(62) 9 8781-8487',",",'LORENA_CAMPBELL',",",'LORENA_CAMPBELL@GMAIL.COM',",",1,),","
